 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,139,139,139,131.985,245.376,10
2,0.000,259,259,259,144.746,236.261,10
3,0.000,205,205,205,157.507,231.521,10
4,0.000,268,268,268,148.028,211.468,10
5,0.000,342,342,342,138.548,215.843,10
6,0.000,331,331,331,126.152,220.218,10
7,0.000,110,110,110,123.599,209.280,10
8,0.000,152,152,152,136.360,204.905,10
9,0.000,111,111,111,149.121,204.176,10
10,0.000,210,210,210,146.205,177.560,10
11,0.000,306,306,306,137.090,180.842,10
12,0.000,293,293,293,123.599,181.935,10
13,0.000,149,149,149,123.235,169.904,10
14,0.000,181,181,181,136.725,169.539,10
15,0.000,166,166,166,149.851,172.091,10
16,0.000,172,172,172,153.861,148.757,10
17,0.000,291,291,291,138.548,147.663,10
18,0.000,253,253,253,130.162,150.944,10
19,0.000,259,259,259,129.068,137.090,10
20,0.000,190,190,190,141.465,138.548,10
21,0.000,218,218,218,153.497,138.913,10
22,0.000,309,309,309,157.872,115.943,10
23,0.000,336,336,336,146.934,118.860,10
24,0.000,327,327,327,133.444,116.307,10
25,0.000,259,259,259,132.350,105.369,10
26,0.000,162,162,162,146.569,106.463,10
27,0.000,238,238,238,158.601,111.203,10
28,0.000,200,200,200,163.705,85.681,10
29,0.000,321,321,321,153.497,85.316,10
30,0.000,209,209,209,138.548,82.400,10
31,0.000,143,143,143,139.642,75.472,10
32,0.000,162,162,162,152.038,75.472,10
33,0.000,179,179,179,165.164,80.577,10
34,0.000,258,258,258,170.268,56.878,10
35,0.000,215,215,215,157.872,56.513,10
36,0.000,306,306,306,144.382,54.690,10
37,0.000,157,157,157,146.569,49.221,10
38,0.000,199,199,199,157.872,49.950,10
39,0.000,149,149,149,172.456,52.138,10
40,0.000,146,146,146,177.196,30.626,10
41,0.000,241,241,241,165.893,29.533,10
42,0.000,146,146,146,151.309,26.616,10
