 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,389,389,389,162.773,245.513,5
2,0.000,310,310,310,171.454,238.731,5
3,0.000,185,185,185,184.748,232.220,5
4,0.000,492,492,492,174.981,212.687,5
5,0.000,367,367,367,165.215,218.927,5
6,0.000,384,384,384,148.937,224.624,5
7,0.000,135,135,135,146.496,211.060,5
8,0.000,405,405,405,160.060,205.905,5
9,0.000,203,203,203,174.167,204.006,5
10,0.000,313,313,313,170.912,179.048,5
11,0.000,425,425,425,158.161,183.117,5
12,0.000,435,435,435,142.969,183.117,5
13,0.000,259,259,259,142.969,170.367,5
14,0.000,340,340,340,157.076,169.282,5
15,0.000,298,298,298,170.098,171.181,5
16,0.000,374,374,374,171.726,143.238,5
17,0.000,355,355,355,159.246,144.595,5
18,0.000,331,331,331,144.326,142.424,5
19,0.000,233,233,233,145.682,131.302,5
20,0.000,413,413,413,158.433,130.488,5
21,0.000,273,273,273,173.353,135.100,5
22,0.000,271,271,271,179.050,105.801,5
23,0.000,264,264,264,165.215,106.072,5
24,0.000,260,260,260,151.922,103.088,5
25,0.000,184,184,184,154.092,92.779,5
26,0.000,241,241,241,166.300,95.492,5
27,0.000,184,184,184,180.136,100.104,5
28,0.000,152,152,152,186.104,70.805,5
29,0.000,150,150,150,172.811,70.263,5
30,0.000,175,175,175,161.145,68.092,5
31,0.000,155,155,155,162.773,59.683,5
32,0.000,215,215,215,174.710,61.853,5
33,0.000,86,86,86,187.460,66.465,5
34,0.000,179,179,179,192.344,39.608,5
35,0.000,158,158,158,180.136,38.522,5
36,0.000,147,147,147,167.114,35.538,5
37,0.000,180,180,180,170.369,26.586,5
38,0.000,89,89,89,180.950,29.299,5
39,0.000,159,159,159,192.344,32.825,5
40,0.000,99,99,99,197.769,10.851,5
41,0.000,70,70,70,185.833,8.681,5
42,0.000,138,138,138,173.896,6.240,5
