 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,333,333,333,126.176,227.470,9
2,0.000,585,585,585,129.311,218.065,9
3,0.000,535,535,535,139.107,211.208,9
4,0.000,308,308,308,122.846,197.493,9
5,0.000,325,325,325,111.482,201.412,9
6,0.000,375,375,375,100.118,210.424,9
7,0.000,150,150,150,96.591,202.195,9
8,0.000,377,377,377,107.955,195.730,9
9,0.000,379,379,379,119.319,192.399,9
10,0.000,277,277,277,117.751,172.415,9
11,0.000,243,243,243,105.408,174.766,9
12,0.000,314,314,314,89.930,175.941,9
13,0.000,173,173,173,86.991,163.794,9
14,0.000,230,230,230,103.645,163.010,9
15,0.000,403,403,403,117.164,164.970,9
16,0.000,300,300,300,120.494,140.479,9
17,0.000,230,230,230,107.171,139.499,9
18,0.000,272,272,272,91.301,136.168,9
19,0.000,349,349,349,97.963,130.487,9
20,0.000,300,300,300,111.482,131.858,9
21,0.000,354,354,354,126.372,136.364,9
22,0.000,423,423,423,133.817,112.266,9
23,0.000,415,415,415,122.062,110.894,9
24,0.000,442,442,442,109.131,105.800,9
25,0.000,190,190,190,110.306,96.591,9
26,0.000,412,412,412,124.217,101.686,9
27,0.000,324,324,324,138.520,107.955,9
28,0.000,300,300,300,147.140,82.093,9
29,0.000,381,381,381,132.642,80.134,9
30,0.000,230,230,230,115.792,75.236,9
31,0.000,140,140,140,119.907,67.203,9
32,0.000,330,330,330,132.838,73.080,9
33,0.000,251,251,251,149.687,78.174,9
34,0.000,301,301,301,158.112,51.920,9
35,0.000,245,245,245,141.067,49.373,9
36,0.000,280,280,280,125.197,45.847,9
37,0.000,206,206,206,126.568,40.361,9
38,0.000,423,423,423,140.871,44.671,9
39,0.000,282,282,282,158.112,47.806,9
40,0.000,343,343,343,161.247,23.119,9
41,0.000,316,316,316,146.553,22.336,9
42,0.000,232,232,232,129.115,21.552,9
