 ,Area,Mean,Min,Max,X,Y
1,0.000,173,173,173,134.653,220.024
2,0.000,579,579,579,141.832,205.473
3,0.000,418,418,418,154.832,193.637
4,0.000,290,290,290,139.310,177.533
5,0.000,337,337,337,128.639,188.204
6,0.000,107,107,107,116.027,199.846
7,0.000,209,209,209,105.550,193.249
8,0.000,338,338,338,118.937,184.906
9,0.000,248,248,248,132.131,177.921
10,0.000,545,545,545,128.251,155.220
11,0.000,315,315,315,113.505,159.877
12,0.000,211,211,211,93.714,167.832
13,0.000,303,303,303,94.684,151.146
14,0.000,382,382,382,111.176,149.787
15,0.000,339,339,339,129.997,149.593
16,0.000,566,566,566,130.385,124.564
17,0.000,554,554,554,111.758,125.534
18,0.000,370,370,370,95.654,126.116
19,0.000,210,210,210,97.401,113.893
20,0.000,231,231,231,115.639,113.893
21,0.000,416,416,416,131.937,118.161
22,0.000,601,601,601,136.982,90.998
23,0.000,436,436,436,118.743,89.834
24,0.000,370,370,370,103.027,87.117
25,0.000,152,152,152,106.326,76.058
26,0.000,351,351,351,122.042,78.968
27,0.000,477,477,477,140.862,84.207
28,0.000,225,225,225,146.101,56.073
29,0.000,576,576,576,130.191,56.655
30,0.000,371,371,371,112.923,52.969
31,0.000,177,177,177,115.639,43.462
32,0.000,292,292,292,130.385,46.178
33,0.000,378,378,378,146.295,50.641
34,0.000,273,273,273,151.534,24.641
35,0.000,288,288,288,135.624,23.671
36,0.000,362,362,362,121.072,19.597
