 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,54,54,54,185.016,255.825,6
2,0.000,193,193,193,197.495,249.586,6
3,0.000,137,137,137,211.331,244.431,6
4,0.000,213,213,213,203.735,223.542,6
5,0.000,229,229,229,191.256,227.882,6
6,0.000,101,101,101,173.622,230.867,6
7,0.000,193,193,193,171.995,220.015,6
8,0.000,142,142,142,185.830,214.589,6
9,0.000,122,122,122,201.293,214.047,6
10,0.000,165,165,165,198.309,189.088,6
11,0.000,176,176,176,185.830,193.158,6
12,0.000,212,212,212,169.282,192.072,6
13,0.000,173,173,173,169.282,181.221,6
14,0.000,134,134,134,184.202,179.322,6
15,0.000,227,227,227,200.751,182.035,6
16,0.000,262,262,262,203.464,157.619,6
17,0.000,202,202,202,189.357,158.161,6
18,0.000,323,323,323,174.165,153.549,6
19,0.000,248,248,248,178.234,142.698,6
20,0.000,282,282,282,190.984,143.240,6
21,0.000,270,270,270,205.634,147.581,6
22,0.000,324,324,324,210.246,123.436,6
23,0.000,291,291,291,197.495,122.080,6
24,0.000,191,191,191,183.931,116.383,6
25,0.000,199,199,199,189.899,106.888,6
26,0.000,265,265,265,201.022,109.329,6
27,0.000,219,219,219,214.586,114.755,6
28,0.000,222,222,222,222.182,90.610,6
29,0.000,336,336,336,209.974,89.254,6
30,0.000,362,362,362,197.767,84.099,6
31,0.000,221,221,221,201.293,78.131,6
32,0.000,290,290,290,212.687,80.301,6
33,0.000,37,37,37,227.065,85.998,6
34,0.000,187,187,187,233.305,61.040,6
35,0.000,122,122,122,221.097,60.769,6
36,0.000,240,240,240,208.889,56.971,6
37,0.000,144,144,144,211.873,52.901,6
38,0.000,119,119,119,224.895,53.715,6
39,0.000,92,92,92,235.475,55.072,6
40,0.000,106,106,106,239.273,34.996,6
41,0.000,73,73,73,227.065,34.996,6
42,0.000,171,171,171,213.230,31.741,6
