 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,72,72,72,148.688,211.792,9
2,0.000,58,58,58,163.854,205.562,9
3,0.000,43,43,43,178.479,202.042,9
4,0.000,48,48,48,170.625,175.500,9
5,0.000,66,66,66,157.083,181.729,9
6,0.000,76,76,76,139.750,188.771,9
7,0.000,69,69,69,133.792,179.292,9
8,0.000,59,59,59,148.688,175.500,9
9,0.000,48,48,48,162.771,173.604,9
10,0.000,89,89,89,159.792,147.875,9
11,0.000,74,74,74,143.812,149.771,9
12,0.000,54,54,54,127.292,152.750,9
13,0.000,60,60,60,130.000,141.917,9
14,0.000,65,65,65,149.500,142.188,9
15,0.000,76,76,76,162.229,143.271,9
16,0.000,34,34,34,164.125,115.646,9
17,0.000,54,54,54,153.292,115.917,9
18,0.000,53,53,53,134.062,115.646,9
19,0.000,45,45,45,136.771,106.167,9
20,0.000,70,70,70,152.750,107.792,9
21,0.000,76,76,76,164.938,112.667,9
22,0.000,56,56,56,170.625,82.875,9
23,0.000,57,57,57,158.708,82.604,9
24,0.000,64,64,64,142.188,80.167,9
25,0.000,58,58,58,145.708,71.500,9
26,0.000,104,104,104,157.896,73.125,9
27,0.000,41,41,41,171.979,78.812,9
28,0.000,68,68,68,179.562,51.458,9
29,0.000,101,101,101,166.833,50.375,9
30,0.000,21,21,21,153.562,46.042,9
31,0.000,122,122,122,156.812,39.542,9
32,0.000,85,85,85,165.750,42.521,9
33,0.000,83,83,83,180.375,48.208,9
34,0.000,87,87,87,190.125,23.021,9
35,0.000,75,75,75,177.125,20.042,9
36,0.000,31,31,31,163.583,17.333,9
