 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,524,524,524,100.118,207.681,9
2,0.000,346,346,346,114.225,203.175,9
3,0.000,317,317,317,128.136,202.000,9
4,0.000,366,366,366,125.197,180.448,9
5,0.000,408,408,408,111.874,181.231,9
6,0.000,318,318,318,97.767,181.623,9
7,0.000,366,366,366,98.159,172.611,9
8,0.000,483,483,483,111.678,171.631,9
9,0.000,261,261,261,125.784,172.219,9
10,0.000,392,392,392,126.764,149.687,9
11,0.000,408,408,408,114.029,149.687,9
12,0.000,310,310,310,100.902,148.316,9
13,0.000,395,395,395,101.686,139.891,9
14,0.000,455,455,455,115.008,140.087,9
15,0.000,411,411,411,128.331,142.634,9
16,0.000,431,431,431,131.270,120.298,9
17,0.000,371,371,371,118.535,119.515,9
18,0.000,355,355,355,105.408,117.164,9
19,0.000,390,390,390,108.347,108.347,9
20,0.000,440,440,440,120.690,108.543,9
21,0.000,469,469,469,134.013,111.874,9
22,0.000,305,305,305,138.128,90.910,9
23,0.000,450,450,450,125.588,89.342,9
24,0.000,255,255,255,112.070,86.795,9
25,0.000,251,251,251,115.596,78.958,9
26,0.000,457,457,457,126.764,80.134,9
27,0.000,485,485,485,139.303,83.073,9
28,0.000,375,375,375,144.201,61.913,9
29,0.000,448,448,448,131.662,60.345,9
30,0.000,410,410,410,120.103,57.994,9
31,0.000,191,191,191,121.278,50.549,9
32,0.000,590,590,590,133.034,51.724,9
33,0.000,390,390,390,145.573,54.663,9
34,0.000,578,578,578,149.100,35.071,9
35,0.000,572,572,572,137.148,34.091,9
36,0.000,313,313,313,125.001,32.720,9
37,0.000,279,279,279,126.372,25.470,9
38,0.000,488,488,488,137.148,26.058,9
39,0.000,389,389,389,150.667,27.626,9
40,0.000,275,275,275,152.234,9.013,9
41,0.000,360,360,360,140.087,9.013,9
42,0.000,258,258,258,127.352,8.425,9
