 ,Area,Mean,Min,Max,X,Y
1,0.000,166,166,166,174.262,283.946
2,0.000,354,354,354,184.670,274.606
3,0.000,249,249,249,196.145,269.536
4,0.000,368,368,368,189.207,247.653
5,0.000,643,643,643,176.664,253.524
6,0.000,537,537,537,161.720,258.060
7,0.000,259,259,259,161.186,246.585
8,0.000,599,599,599,175.063,241.248
9,0.000,270,270,270,188.940,241.781
10,0.000,302,302,302,188.673,214.294
11,0.000,515,515,515,176.130,218.564
12,0.000,440,440,440,161.186,218.564
13,0.000,342,342,342,161.720,210.558
14,0.000,306,306,306,174.796,210.558
15,0.000,246,246,246,187.606,210.558
16,0.000,350,350,350,188.673,188.141
17,0.000,514,514,514,177.732,187.341
18,0.000,472,472,472,168.391,186.807
19,0.000,271,271,271,167.324,175.598
20,0.000,330,330,330,179.867,178.000
21,0.000,341,341,341,191.342,178.801
22,0.000,439,439,439,194.811,155.850
23,0.000,527,527,527,184.670,155.850
24,0.000,474,474,474,173.996,154.249
25,0.000,413,413,413,173.729,145.443
26,0.000,375,375,375,185.204,147.044
27,0.000,340,340,340,196.679,148.645
28,0.000,367,367,367,200.415,125.694
29,0.000,534,534,534,188.940,125.694
30,0.000,391,391,391,176.397,121.691
31,0.000,422,422,422,178.532,113.152
32,0.000,319,319,319,188.673,115.820
33,0.000,301,301,301,202.550,118.489
34,0.000,384,384,384,208.955,97.140
35,0.000,414,414,414,195.878,93.937
36,0.000,341,341,341,182.268,92.336
37,0.000,212,212,212,184.670,85.397
38,0.000,307,307,307,196.946,86.732
39,0.000,236,236,236,209.755,89.934
40,0.000,306,306,306,217.228,69.652
41,0.000,372,372,372,203.351,68.585
42,0.000,228,228,228,192.409,64.315
43,0.000,241,241,241,192.676,58.978
44,0.000,207,207,207,202.016,61.646
45,0.000,226,226,226,211.357,63.247
46,0.000,374,374,374,224.433,52.306
47,0.000,261,261,261,208.955,50.171
48,0.000,217,217,217,195.078,49.104
49,0.000,244,244,244,191.875,46.702
50,0.000,312,312,312,202.817,46.969
51,0.000,273,273,273,214.826,50.171
52,0.000,110,110,110,215.626,41.364
53,0.000,139,139,139,204.151,42.165
54,0.000,260,260,260,192.943,38.696
