 ,Area,Mean,Min,Max,X,Y
1,0.000,320,320,320,111.564,187.234
2,0.000,407,407,407,123.788,180.443
3,0.000,383,383,383,136.788,177.339
4,0.000,495,495,495,131.161,154.056
5,0.000,393,393,393,120.102,158.713
6,0.000,483,483,483,103.609,163.757
7,0.000,450,450,450,101.669,149.787
8,0.000,332,332,332,115.833,146.295
9,0.000,357,357,357,131.161,146.295
10,0.000,418,418,418,130.579,121.072
11,0.000,429,429,429,115.251,124.176
12,0.000,325,325,325,100.893,125.534
13,0.000,280,280,280,101.863,111.758
14,0.000,273,273,273,115.057,111.370
15,0.000,330,330,330,129.221,113.505
16,0.000,448,448,448,131.743,87.311
17,0.000,317,317,317,116.609,89.446
18,0.000,278,278,278,103.997,87.117
19,0.000,297,297,297,107.684,75.282
20,0.000,248,248,248,120.490,77.222
21,0.000,212,212,212,131.937,81.297
22,0.000,470,470,470,139.310,55.685
23,0.000,492,492,492,125.922,55.879
24,0.000,295,295,295,112.535,52.193
25,0.000,273,273,273,116.221,41.521
26,0.000,447,447,447,129.027,44.432
27,0.000,282,282,282,143.967,49.670
28,0.000,414,414,414,149.011,25.223
29,0.000,627,627,627,136.012,25.029
30,0.000,334,334,334,123.206,20.179
