 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,673,673,673,116.690,212.489,11
2,0.000,431,431,431,125.763,204.049,11
3,0.000,271,271,271,141.378,200.883,11
4,0.000,451,451,451,135.892,183.791,11
5,0.000,190,190,190,123.442,190.755,11
6,0.000,393,393,393,106.772,194.975,11
7,0.000,341,341,341,104.029,179.571,11
8,0.000,492,492,492,118.167,171.975,11
9,0.000,334,334,334,133.571,173.663,11
10,0.000,515,515,515,132.937,153.195,11
11,0.000,358,358,358,118.167,158.470,11
12,0.000,276,276,276,100.231,157.837,11
13,0.000,362,362,362,102.763,145.598,11
14,0.000,312,312,312,116.690,140.745,11
15,0.000,366,366,366,131.460,143.699,11
16,0.000,414,414,414,132.726,135.259,11
17,0.000,314,314,314,120.277,135.470,11
18,0.000,360,360,360,105.084,132.515,11
19,0.000,247,247,247,107.827,123.020,11
20,0.000,352,352,352,120.910,120.488,11
21,0.000,338,338,338,135.048,123.020,11
22,0.000,355,355,355,135.048,103.185,11
23,0.000,319,319,319,123.020,108.460,11
24,0.000,312,312,312,111.625,106.139,11
25,0.000,427,427,427,110.781,96.643,11
26,0.000,348,348,348,121.965,93.056,11
27,0.000,364,364,364,135.470,95.799,11
28,0.000,309,309,309,135.259,75.120,11
29,0.000,294,294,294,122.598,78.918,11
30,0.000,353,353,353,110.359,75.331,11
31,0.000,453,453,453,110.992,67.735,11
32,0.000,469,469,469,122.387,64.570,11
33,0.000,303,303,303,135.892,68.368,11
34,0.000,294,294,294,139.268,47.900,11
35,0.000,292,292,292,126.607,49.799,11
36,0.000,228,228,228,113.102,46.634,11
37,0.000,270,270,270,115.001,39.248,11
38,0.000,283,283,283,127.240,37.349,11
39,0.000,298,298,298,138.424,41.991,11
40,0.000,253,253,253,144.121,26.588,11
41,0.000,348,348,348,131.038,29.120,11
42,0.000,244,244,244,118.800,24.899,11
43,0.000,220,220,220,122.176,18.991,11
44,0.000,304,304,304,133.149,17.936,11
45,0.000,186,186,186,144.332,21.945,11
46,0.000,93,93,93,149.818,6.541,11
47,0.000,205,205,205,138.424,6.752,11
48,0.000,223,223,223,126.818,3.165,11
