 ,Area,Mean,Min,Max,X,Y
1,0.000,317,317,317,94.438,222.797
2,0.000,246,246,246,107.736,213.546
3,0.000,240,240,240,123.733,209.113
4,0.000,397,397,397,116.987,186.949
5,0.000,478,478,478,101.184,191.574
6,0.000,415,415,415,84.416,198.513
7,0.000,184,184,184,80.176,180.974
8,0.000,392,392,392,96.943,178.469
9,0.000,352,352,352,114.867,177.505
10,0.000,501,501,501,113.518,154.184
11,0.000,469,469,469,97.907,154.377
12,0.000,371,371,371,79.212,156.497
13,0.000,218,218,218,80.754,143.006
14,0.000,306,306,306,97.714,142.428
15,0.000,269,269,269,115.253,144.355
16,0.000,198,198,198,118.722,119.686
17,0.000,400,400,400,101.762,119.108
18,0.000,158,158,158,84.994,116.217
19,0.000,125,125,125,86.922,105.616
20,0.000,362,362,362,103.496,106.580
21,0.000,235,235,235,121.035,111.398
22,0.000,246,246,246,125.853,84.416
23,0.000,353,353,353,109.278,84.416
24,0.000,308,308,308,93.282,79.983
25,0.000,249,249,249,95.594,69.576
26,0.000,360,360,360,110.049,72.467
27,0.000,253,253,253,127.588,78.056
28,0.000,201,201,201,133.948,51.266
29,0.000,311,311,311,118.337,49.724
30,0.000,292,292,292,102.147,46.255
31,0.000,79,79,79,104.845,38.739
32,0.000,400,400,400,119.493,40.859
33,0.000,298,298,298,135.297,45.292
34,0.000,371,371,371,141.272,20.429
35,0.000,437,437,437,126.817,19.080
36,0.000,297,297,297,109.856,16.189
