 ,Area,Mean,Min,Max,X,Y
1,0.000,134,134,134,102.639,229.920
2,0.000,278,278,278,116.803,221.771
3,0.000,212,212,212,130.385,219.442
4,0.000,270,270,270,128.639,199.264
5,0.000,291,291,291,113.893,202.174
6,0.000,272,272,272,99.341,204.696
7,0.000,260,260,260,97.013,192.861
8,0.000,143,143,143,111.176,192.473
9,0.000,182,182,182,127.863,192.667
10,0.000,225,225,225,128.445,168.802
11,0.000,200,200,200,115.445,170.354
12,0.000,151,151,151,100.699,169.772
13,0.000,149,149,149,105.550,160.265
14,0.000,216,216,216,115.445,162.011
15,0.000,149,149,149,124.758,162.399
16,0.000,250,250,250,130.967,150.757
17,0.000,261,261,261,120.296,151.922
18,0.000,159,159,159,111.176,151.922
19,0.000,144,144,144,107.102,128.639
20,0.000,164,164,164,119.519,125.728
21,0.000,209,209,209,131.161,125.534
22,0.000,176,176,176,133.101,117.967
23,0.000,295,295,295,121.848,118.549
24,0.000,195,195,195,110.594,117.967
25,0.000,137,137,137,112.341,110.206
26,0.000,182,182,182,124.758,111.952
27,0.000,217,217,217,136.400,112.923
28,0.000,328,328,328,138.922,88.087
29,0.000,245,245,245,126.698,88.281
30,0.000,236,236,236,114.863,88.087
31,0.000,183,183,183,114.281,79.550
32,0.000,199,199,199,125.728,80.714
33,0.000,123,123,123,140.474,83.819
34,0.000,346,346,346,149.011,60.536
35,0.000,207,207,207,134.653,57.625
36,0.000,173,173,173,121.460,54.909
