 ,Area,Mean,Min,Max,X,Y
1,0.000,300,300,300,95.654,199.846
2,0.000,318,318,318,108.654,189.951
3,0.000,288,288,288,124.564,185.294
4,0.000,403,403,403,117.773,161.235
5,0.000,358,358,358,102.833,167.056
6,0.000,327,327,327,84.983,172.100
7,0.000,114,114,114,78.580,159.683
8,0.000,277,277,277,95.848,155.802
9,0.000,286,286,286,114.863,155.996
10,0.000,282,282,282,114.281,127.863
11,0.000,291,291,291,97.013,131.743
12,0.000,222,222,222,78.386,131.355
13,0.000,55,55,55,81.685,120.296
14,0.000,193,193,193,98.953,119.907
15,0.000,265,265,265,115.057,122.624
16,0.000,308,308,308,121.072,94.684
17,0.000,289,289,289,101.863,95.460
18,0.000,256,256,256,84.013,94.684
19,0.000,139,139,139,88.863,81.685
20,0.000,326,326,326,104.580,82.461
21,0.000,208,208,208,121.460,88.475
22,0.000,339,339,339,129.415,58.208
23,0.000,476,476,476,113.505,58.208
24,0.000,284,284,284,95.266,54.909
25,0.000,276,276,276,99.147,43.462
26,0.000,386,386,386,114.281,45.790
27,0.000,294,294,294,130.773,53.357
28,0.000,275,275,275,141.250,23.865
29,0.000,452,452,452,123.788,22.313
30,0.000,291,291,291,107.684,16.492
