 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,631,631,631,110.306,233.740,9
2,0.000,558,558,558,124.217,225.707,9
3,0.000,411,411,411,138.716,217.674,9
4,0.000,425,425,425,128.723,196.318,9
5,0.000,369,369,369,116.576,202.783,9
6,0.000,286,286,286,102.469,206.702,9
7,0.000,396,396,396,92.673,205.526,9
8,0.000,285,285,285,103.645,199.453,9
9,0.000,317,317,317,117.751,196.122,9
10,0.000,283,283,283,113.441,171.043,9
11,0.000,395,395,395,101.881,175.746,9
12,0.000,293,293,293,86.207,178.684,9
13,0.000,195,195,195,85.816,167.125,9
14,0.000,272,272,272,100.314,163.794,9
15,0.000,390,390,390,113.049,163.990,9
16,0.000,172,172,172,114.813,138.520,9
17,0.000,327,327,327,100.902,140.675,9
18,0.000,204,204,204,86.795,138.324,9
19,0.000,195,195,195,90.126,127.940,9
20,0.000,255,255,255,102.665,127.744,9
21,0.000,243,243,243,116.968,133.034,9
22,0.000,360,360,360,122.258,107.367,9
23,0.000,306,306,306,108.739,105.996,9
24,0.000,217,217,217,96.591,100.902,9
25,0.000,332,332,332,99.922,93.261,9
26,0.000,439,439,439,111.090,94.828,9
27,0.000,404,404,404,124.609,101.098,9
28,0.000,367,367,367,134.993,76.411,9
29,0.000,369,369,369,122.846,75.040,9
30,0.000,288,288,288,108.347,68.770,9
31,0.000,268,268,268,112.266,63.676,9
32,0.000,417,417,417,124.609,67.203,9
33,0.000,387,387,387,137.736,73.472,9
34,0.000,449,449,449,147.532,50.353,9
35,0.000,400,400,400,135.973,48.198,9
36,0.000,349,349,349,124.413,43.691,9
37,0.000,113,113,113,125.197,40.557,9
38,0.000,429,429,429,136.952,43.104,9
39,0.000,380,380,380,148.512,47.218,9
40,0.000,357,357,357,155.565,24.491,9
41,0.000,345,345,345,143.418,24.295,9
42,0.000,86,86,86,131.858,20.768,9
