 ,Area,Mean,Min,Max,X,Y
1,0.000,292,292,292,123.540,230.506
2,0.000,425,425,425,132.020,218.942
3,0.000,388,388,388,143.970,212.196
4,0.000,404,404,404,131.635,192.152
5,0.000,553,553,553,122.577,200.633
6,0.000,380,380,380,107.929,207.956
7,0.000,428,428,428,103.304,195.043
8,0.000,299,299,299,114.482,191.960
9,0.000,489,489,489,125.275,190.996
10,0.000,248,248,248,125.082,165.941
11,0.000,424,424,424,110.820,168.832
12,0.000,400,400,400,97.522,170.181
13,0.000,208,208,208,99.642,157.075
14,0.000,585,585,585,113.518,157.846
15,0.000,269,269,269,125.275,160.545
16,0.000,343,343,343,131.057,135.490
17,0.000,460,460,460,118.144,134.719
18,0.000,363,363,363,104.845,132.406
19,0.000,173,173,173,107.929,121.035
20,0.000,268,268,268,121.035,124.889
21,0.000,353,353,353,132.791,129.900
22,0.000,265,265,265,142.428,104.075
23,0.000,389,389,389,129.900,103.496
24,0.000,311,311,311,117.373,98.678
25,0.000,374,374,374,121.998,90.005
26,0.000,353,353,353,131.442,93.282
27,0.000,246,246,246,143.392,99.642
28,0.000,335,335,335,153.414,75.743
29,0.000,433,433,433,141.657,73.430
30,0.000,429,429,429,130.479,68.805
31,0.000,253,253,253,132.984,63.216
32,0.000,507,507,507,142.813,65.721
33,0.000,327,327,327,154.763,71.310
34,0.000,302,302,302,164.399,49.146
35,0.000,431,431,431,152.064,47.026
36,0.000,308,308,308,141.079,42.593
37,0.000,375,375,375,144.933,36.619
38,0.000,523,523,523,154.377,39.510
39,0.000,512,512,512,164.206,43.557
40,0.000,386,386,386,175.192,23.128
41,0.000,440,440,440,162.857,21.586
42,0.000,365,365,365,151.872,17.346
