 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,21,21,21,136.875,236.250,10
2,0.000,51,51,51,148.828,233.906,10
3,0.000,32,32,32,160.312,233.203,10
4,0.000,31,31,31,157.031,214.453,10
5,0.000,52,52,52,145.547,216.797,10
6,0.000,41,41,41,133.594,218.906,10
7,0.000,50,50,50,133.828,217.031,10
8,0.000,76,76,76,143.672,212.578,10
9,0.000,42,42,42,155.391,211.172,10
10,0.000,39,39,39,150.000,193.359,10
11,0.000,65,65,65,140.625,196.406,10
12,0.000,70,70,70,129.609,199.922,10
13,0.000,74,74,74,128.203,198.516,10
14,0.000,66,66,66,137.812,193.125,10
15,0.000,54,54,54,149.062,190.078,10
16,0.000,60,60,60,140.625,172.969,10
17,0.000,114,114,114,132.188,178.125,10
18,0.000,40,40,40,122.344,183.750,10
19,0.000,87,87,87,120.469,180.469,10
20,0.000,83,83,83,127.500,175.781,10
21,0.000,58,58,58,138.984,171.328,10
22,0.000,97,97,97,127.734,155.859,10
23,0.000,77,77,77,121.406,160.547,10
24,0.000,73,73,73,111.797,167.812,10
25,0.000,101,101,101,110.625,163.828,10
26,0.000,42,42,42,119.531,158.672,10
27,0.000,80,80,80,126.328,154.688,10
28,0.000,60,60,60,117.422,142.031,10
29,0.000,95,95,95,111.797,148.594,10
30,0.000,87,87,87,105.000,154.219,10
31,0.000,118,118,118,102.656,151.641,10
32,0.000,51,51,51,110.156,145.312,10
33,0.000,41,41,41,116.953,140.859,10
34,0.000,59,59,59,111.562,132.656,10
35,0.000,101,101,101,104.062,136.172,10
36,0.000,48,48,48,95.625,142.500,10
37,0.000,27,27,27,95.625,139.688,10
38,0.000,35,35,35,101.484,134.297,10
39,0.000,74,74,74,111.328,130.078,10
40,0.000,112,112,112,103.594,120.938,10
41,0.000,109,109,109,96.094,125.859,10
42,0.000,52,52,52,90.703,131.953,10
43,0.000,55,55,55,91.172,126.328,10
44,0.000,65,65,65,96.328,122.344,10
45,0.000,61,61,61,102.891,119.062,10
46,0.000,97,97,97,95.156,110.156,10
47,0.000,71,71,71,89.531,112.734,10
48,0.000,68,68,68,84.609,117.891,10
49,0.000,102,102,102,82.266,115.547,10
50,0.000,36,36,36,87.188,110.625,10
51,0.000,50,50,50,93.047,108.984,10
52,0.000,74,74,74,88.125,96.797,10
53,0.000,71,71,71,82.500,100.078,10
54,0.000,57,57,57,76.641,105.703,10
55,0.000,69,69,69,75.469,102.422,10
56,0.000,70,70,70,81.328,97.266,10
57,0.000,63,63,63,86.953,95.625,10
58,0.000,55,55,55,83.438,85.312,10
59,0.000,106,106,106,77.109,87.188,10
60,0.000,71,71,71,72.656,90.234,10
