 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,603,603,603,125.974,192.865,10
2,0.000,471,471,471,137.791,189.067,10
3,0.000,362,362,362,148.974,184.424,10
4,0.000,505,505,505,143.277,164.167,10
5,0.000,369,369,369,131.882,167.121,10
6,0.000,438,438,438,117.956,170.709,10
7,0.000,272,272,272,115.001,159.736,10
8,0.000,274,274,274,128.928,156.993,10
9,0.000,324,324,324,139.690,157.415,10
10,0.000,446,446,446,141.378,134.415,10
11,0.000,571,571,571,128.506,135.892,10
12,0.000,396,396,396,116.268,133.993,10
13,0.000,436,436,436,117.112,124.075,10
14,0.000,355,355,355,130.405,125.763,10
15,0.000,276,276,276,140.745,128.717,10
16,0.000,614,614,614,147.919,106.139,10
17,0.000,513,513,513,135.681,104.240,10
18,0.000,460,460,460,123.231,100.231,10
19,0.000,247,247,247,125.763,92.001,10
20,0.000,459,459,459,138.002,94.111,10
21,0.000,645,645,645,150.663,98.754,10
22,0.000,451,451,451,159.736,75.964,10
23,0.000,673,673,673,146.864,73.854,10
24,0.000,393,393,393,136.103,68.579,10
25,0.000,260,260,260,139.268,59.927,10
26,0.000,369,369,369,149.607,63.515,10
27,0.000,296,296,296,161.424,71.322,10
28,0.000,515,515,515,173.030,52.120,10
29,0.000,475,475,475,155.305,55.285,10
30,0.000,419,419,419,145.176,53.597,10
31,0.000,286,286,286,149.396,46.001,10
32,0.000,273,273,273,160.369,47.689,10
33,0.000,199,199,199,171.553,50.010,10
34,0.000,332,332,332,175.773,28.698,10
35,0.000,356,356,356,166.277,29.331,10
36,0.000,382,382,382,155.938,28.276,10
