 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,181,181,181,92.083,204.142,7
2,0.000,323,323,323,109.687,198.387,7
3,0.000,321,321,321,123.229,197.033,7
4,0.000,286,286,286,121.198,175.366,7
5,0.000,276,276,276,107.995,179.090,7
6,0.000,303,303,303,91.406,181.460,7
7,0.000,187,187,187,88.359,174.351,7
8,0.000,165,165,165,107.318,169.949,7
9,0.000,428,428,428,120.859,169.272,7
10,0.000,396,396,396,120.859,145.913,7
11,0.000,328,328,328,105.286,148.960,7
12,0.000,192,192,192,88.359,145.913,7
13,0.000,145,145,145,89.036,140.496,7
14,0.000,154,154,154,106.641,139.142,7
15,0.000,191,191,191,121.536,141.512,7
16,0.000,227,227,227,121.198,114.090,7
17,0.000,141,141,141,104.609,116.798,7
18,0.000,127,127,127,87.682,114.428,7
19,0.000,172,172,172,89.713,105.626,7
20,0.000,198,198,198,107.995,105.626,7
21,0.000,200,200,200,122.891,110.366,7
22,0.000,227,227,227,126.276,81.589,7
23,0.000,196,196,196,108.333,83.621,7
24,0.000,246,246,246,94.114,80.912,7
25,0.000,133,133,133,95.130,73.803,7
26,0.000,204,204,204,111.719,73.803,7
27,0.000,149,149,149,127.292,78.204,7
28,0.000,309,309,309,131.015,51.797,7
29,0.000,356,356,356,115.781,52.813,7
30,0.000,354,354,354,101.224,50.782,7
31,0.000,154,154,154,103.594,44.011,7
32,0.000,225,225,225,117.135,42.995,7
33,0.000,419,419,419,132.031,48.412,7
34,0.000,233,233,233,136.094,21.667,7
35,0.000,428,428,428,121.198,24.375,7
36,0.000,203,203,203,107.995,21.328,7
