 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,68,68,68,150.391,258.203,7
2,0.000,65,65,65,164.844,248.047,7
3,0.000,109,109,109,180.078,242.969,7
4,0.000,169,169,169,170.703,219.922,7
5,0.000,125,125,125,158.594,226.953,7
6,0.000,131,131,131,143.359,234.375,7
7,0.000,88,88,88,134.766,225.000,7
8,0.000,66,66,66,149.609,219.141,7
9,0.000,122,122,122,166.406,216.016,7
10,0.000,96,96,96,161.719,190.234,7
11,0.000,123,123,123,147.266,195.703,7
12,0.000,142,142,142,129.297,200.781,7
13,0.000,59,59,59,131.250,184.375,7
14,0.000,41,41,41,147.656,183.984,7
15,0.000,112,112,112,162.109,185.547,7
16,0.000,106,106,106,167.188,158.203,7
17,0.000,175,175,175,151.953,158.594,7
18,0.000,87,87,87,133.984,157.031,7
19,0.000,60,60,60,138.281,146.094,7
20,0.000,24,24,24,154.688,148.828,7
21,0.000,96,96,96,167.969,153.906,7
22,0.000,95,95,95,175.781,123.828,7
23,0.000,186,186,186,162.109,122.656,7
24,0.000,164,164,164,146.484,119.141,7
25,0.000,78,78,78,149.609,110.156,7
26,0.000,59,59,59,165.625,114.844,7
27,0.000,25,25,25,178.125,119.141,7
28,0.000,113,113,113,185.547,91.016,7
29,0.000,215,215,215,171.094,88.672,7
30,0.000,118,118,118,157.422,85.156,7
31,0.000,87,87,87,160.156,78.125,7
32,0.000,131,131,131,173.438,81.641,7
33,0.000,73,73,73,185.156,85.156,7
34,0.000,141,141,141,193.750,58.203,7
35,0.000,207,207,207,184.375,56.250,7
36,0.000,83,83,83,164.844,55.469,7
37,0.000,96,96,96,166.016,50.391,7
38,0.000,211,211,211,181.250,53.125,7
39,0.000,99,99,99,194.531,54.687,7
40,0.000,159,159,159,195.313,31.641,7
41,0.000,211,211,211,182.031,32.031,7
42,0.000,137,137,137,170.703,30.078,7
43,0.000,87,87,87,171.484,26.172,7
44,0.000,83,83,83,183.984,26.172,7
45,0.000,56,56,56,197.266,28.516,7
46,0.000,71,71,71,197.656,6.641,7
47,0.000,106,106,106,189.844,7.031,7
48,0.000,59,59,59,173.438,5.469,7
