 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,82,82,82,128.188,223.562,9
2,0.000,168,168,168,142.625,214.375,9
3,0.000,83,83,83,159.688,210.000,9
4,0.000,133,133,133,153.125,184.188,9
5,0.000,132,132,132,140.000,189.875,9
6,0.000,176,176,176,120.750,192.500,9
7,0.000,100,100,100,121.188,180.688,9
8,0.000,55,55,55,136.500,175.875,9
9,0.000,63,63,63,154.875,177.188,9
10,0.000,105,105,105,155.750,149.625,9
11,0.000,110,110,110,139.125,152.688,9
12,0.000,50,50,50,119.438,153.125,9
13,0.000,99,99,99,122.500,143.500,9
14,0.000,81,81,81,139.125,140.875,9
15,0.000,105,105,105,156.625,145.688,9
16,0.000,103,103,103,160.562,116.812,9
17,0.000,150,150,150,143.938,117.250,9
18,0.000,106,106,106,126.875,112.875,9
19,0.000,82,82,82,127.750,106.750,9
20,0.000,106,106,106,143.062,107.188,9
21,0.000,213,213,213,161.438,111.562,9
22,0.000,108,108,108,168.000,85.750,9
23,0.000,102,102,102,150.938,84.438,9
24,0.000,53,53,53,134.750,80.062,9
25,0.000,99,99,99,140.000,74.812,9
26,0.000,232,232,232,154.875,75.688,9
27,0.000,185,185,185,169.312,80.938,9
28,0.000,78,78,78,175.438,53.375,9
29,0.000,126,126,126,161.875,52.938,9
30,0.000,74,74,74,146.125,49.438,9
31,0.000,73,73,73,147.875,44.625,9
32,0.000,309,309,309,162.312,45.062,9
33,0.000,233,233,233,177.188,49.438,9
34,0.000,113,113,113,182.000,24.500,9
35,0.000,123,123,123,168.438,24.938,9
36,0.000,109,109,109,154.000,21.438,9
