 ,Area,Mean,Min,Max,X,Y
1,0.000,334,334,334,111.952,216.532
2,0.000,439,439,439,124.952,207.995
3,0.000,495,495,495,137.176,201.204
4,0.000,341,341,341,130.773,179.667
5,0.000,528,528,528,116.221,183.936
6,0.000,452,452,452,102.251,190.921
7,0.000,220,220,220,93.908,183.160
8,0.000,557,557,557,109.430,178.697
9,0.000,521,521,521,128.445,174.623
10,0.000,551,551,551,123.788,152.504
11,0.000,534,534,534,108.072,154.832
12,0.000,444,444,444,91.192,156.190
13,0.000,402,402,402,86.147,149.205
14,0.000,393,393,393,102.445,146.877
15,0.000,493,493,493,118.549,147.653
16,0.000,530,530,530,121.460,122.430
17,0.000,454,454,454,105.744,122.430
18,0.000,327,327,327,88.863,122.236
19,0.000,164,164,164,89.834,113.117
20,0.000,404,404,404,105.356,113.505
21,0.000,294,294,294,120.296,117.967
22,0.000,465,465,465,125.728,91.386
23,0.000,496,496,496,110.982,89.640
24,0.000,494,494,494,96.430,87.893
25,0.000,240,240,240,98.371,77.804
26,0.000,676,676,676,111.952,80.132
27,0.000,411,411,411,128.251,83.625
28,0.000,341,341,341,131.937,58.790
29,0.000,510,510,510,118.355,57.043
30,0.000,306,306,306,103.803,54.133
31,0.000,480,480,480,107.490,46.178
32,0.000,627,627,627,119.519,48.894
33,0.000,341,341,341,133.683,53.163
34,0.000,334,334,334,138.146,27.358
35,0.000,525,525,525,124.564,26.581
36,0.000,451,451,451,112.341,24.059
